,Texts,SWN Analysis,Emotions
309,Hai USM…,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
310,Anyone can explain this to me?,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
311,Yes u Ms #usmcfs25958 im watching u,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
312,Zzzzzzzz,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
313,"Its already final week, why lect still dont want to disclose our coursework mark.... I am so worry...",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
314,"May I know anyone took WCC107 guitar KO-k before?  How will it be? I'm worried if there's any tests to do. BTW, I'm a first year student.",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33}"
315,解咒君生日快乐,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
316,Edu的T_ _  Z_ _ N_ _ _ 好帅啊 好想去认识认识他可是我很害羞希望他还是单身,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
317,"Why the dtekun parcel charging rm1 for the parcel we bought?Its sounds so stupid.Their job is just to keep our things.Thats all.For that they are charging rm1 is it?If like this i cab just ask jnt come near my desa.They asking rm1 per parcel.And i took 3 parcel that day, they charge rm3.Just keeping other ppl stuff is rm1 is it?This is hw they sucks student's blood during this hard situation.That rm3 can be my one day meal.Last time they charge 50 sen, but for w… See More",Negative,"{'Happy': 0.55, 'Angry': 0.18, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.27}"
318,想問各位senior們 如果year2 還看得回我們year1 時候Lecturer upload的東西嗎 還是會clear掉？,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
319,知人知面不知心，那种看起来很可爱人很nice的小妹妹你永远不懂他暗地里有多可怕，注意点兄弟姐妹们。,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
320,之前我一直很瞧不起那些在confession讨论女生处不处的男生，之后交了男朋友，最近跟他讨论了这个问题，我觉得虽然很多人确实有点古板，但也有少部分人背后关心的原因是不一样的，比如我男朋友，虽然我不是处了，但我好希望我是，能陪他一起开心。（记得戴套套）,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
321,当大家都在为食物不足的时候，USM很温馨的提供了我们食物充饥。。。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
322,"Is it wrong if i say i dislike my roommate because of the way he talk to me? I don't hate him but i dont really like to talk to him cuz when we talk, he always talks as if he knows better than me and the way he talk annoys me cuz to me he is g*dik when he talks.",Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.5, 'Fear': 0.0}"
323,有谁知道assignment是给lecturer 改还是tutor 改的吗？感觉上lecturer要改将近100份的group assignments 好像不够时间嘞。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
324,"Next sem is my final year, this is bulls*it i thought im gonna have some romance story in uni uhuhu damn stupid covid, i thought  im going to be the Main character atleast ones in my life",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67}"
326,有些人很奇怪，我之前叫他这么做，然后他无视我，然后后来别人叫他也这样做，他说这样做很好，过后还叫我跟他一起这样做。好心，之前我叫你这样做然后被你无视，然后现在反过来是你叫我我叫你做的事？好像是被你叫了，我才知道要这样做？搞笑。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
327,Haiz a tekun parcel complain post have more likes than my vindiesel and altera memes combined. Either uall have low sense of humour or uall like hate post more than meme,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
328,"I am stuck, between 2 guys. One is my boyfriend now and one is kind of like my crush.",Neutral,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
329,回复 #usmcfs26044,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
330,"If I want to apply for the alumni offspring discount, do my parents need to be part of the alumni association? Or is that it doesn't matter if the alumni is in the association or not when applying for the discount?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
331,Hey guys will there be V grade for this as online learning really messed me up and I got covid during the semester so missed a couple of submission i hope that there will be V grade for this semester as the situation is the same as last semester,Positive,"{'Happy': 0.0, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.33}"
332,#USMCFS26044,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
334,F,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
335,I missed a train . Can someone tell me why Vin Diesel meme becomes trending?,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
336,#非常认真帖,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
339,"Hi everyone! I'm thinking of meeting USM counsellor to discuss regarding my condition. Anyone has any experience meeting them? Are they helpful? Do you feel comfortable?,First of all, it's amazing that you are seeking help and seeking advise on the kind of help you are seeking  (a bit tongue twisting, but nevermind )",Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.56, 'Sad': 0.0, 'Fear': 0.11}"
340,"Hi Senior, have u heard about Meta Research Sdn Bhd ? I was ur computer science junior who just get their offer and will onboard next month （August）, may i ask those senior work or been worked there, is there any abnormal of this company ? I saw from many website some of the review was good some was really bad as i havent sign the offer and still have the chance to select it. Hopefully someone can ans me this as i really scare i been go for those heavily politic… See More",Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.15, 'Sad': 0.15, 'Fear': 0.62}"
341,Hey there seniors!,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
342,Hello这里有借ptptn loan的哥哥姐姐们，我想问如果我的借款是30K，这笔款项是按平均除一年10K然后再除一年多少个semester，再按semester发下来吗？求解答,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
343,我很努力从深渊中爬出来，但下面却有很多只手却毫不留情的抓住我的脚，那些手也没有要爬出来的意思。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
344,So sad that the bakul prihatin is only for students in campus only…so petas students is not from USM? I hate that petas students are like the anak tiri that everyone hates when it’s not really our fault we didn’t get Desa? We try our best to join activities/be ajk but what to do when most of the activities are dominated by the same group of people lol,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.6, 'Sad': 0.4, 'Fear': 0.0}"
345,各位 请问for final year (degree) 如果拿到first class(3.69?)要如何可以直接skip master 然后申请去PhD 呢?是要等最后考完拿到那个transcript? 因为本身我已经apply master 然后看到帖子说可以skip master 所以想知道详细该怎么做。最好是可以step by step 因为我本身比较迟钝，抱歉。请问PhD 的话是for 要做教授/老师才读的吗还是可以其他呢？我是真不懂，抱歉。,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
346,"Why there's no feedback on the test, assignment or exam that we students had done. I just wish to know what mistakes have i done...It's pointless to know only the marks and grade. I cant make improvement and it becomes worse in courses where there is advance level in the future. Students will then carry with unclear and shaky knowledge for the advanced course.",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
348,GG lor. Next semester is my last semester. Dont tell me we will have online classes again la...cant meet my crush oso. Walao eh...,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
349,"Greetings. I want to ask. When the country fees are going to enter EFAS.,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
350,我的stpm 3.92，muet band 4，原本是想选择usm的economic，但是之前没有得到interview的机会，还有什么办法吗，很想去槟城读书,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
351,"Hi all, I wish to do my part in helping out the b40 students who need new clothes. Just drop a comment below and I will pm and send you the clothes. My clothing sizes are around S to M.",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
352,好想自s，那种感觉越来越强，寻求过帮助，但是好像没人会相信，找了辅导员，辅导员对我也是忽冷忽热。好累。。。这个世界很美好吗？也许吧，只是我永远都感受不到,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
353,你接下来的assignments将会是：… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
354,"We are aware of domestic violence increasing globally as Covid-19 pandemic escalates. Therefore, if you are experiencing domestic violence, rape and sexual harassment, marital or relationship problems, let us help you. If you know someone who might be going through these crisis situation, you can also reach out to us to see how you can support the victim better.",Neutral,"{'Happy': 0.0, 'Angry': 0.14, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.43}"
355,写给一位朋友的话：,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
356,"Hi guys, I need your help to fill up this form, it might take around 10 minutes. Feel free to fill it up when you are free. Thank you!… See More",Positive,"{'Happy': 0.33, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.0, 'Fear': 0.33}"
357,Yeayea come civil war between mememakers come come… See More,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
358,Don’t play play arh,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
360,#USMCFS26058,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
361,你们认为大学时会比较忙还是出来工作时会比较忙？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
362,Any recommendations to take Korean Language or Management for the minor course?,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
363,"Need some clarification about repeating paper thingy . I know it’s quit early to talk about this but i just want to know . Like what grade that required us to repeat the paper , and how abt the cw marks ? Are they use the prev cw marks or there will be a new cw marks. Please help , really wanna know abt the process on repeating paper",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
364,各位 請問怎樣弄turnitin啊 我的內容原本不高 可是加了referrence就高很多了,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
365,May I ask is there anyone who took WEC 103E (Public Speaking in English Language) as your co-curriculum via online before? Will it be very burden for taking this co-curriculum? Would you mind to share with me about the assessment of this activi… See More,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.0, 'Fear': 0.71}"
366,Anyone managed to score an A for MAT 202 ?,Positive,"{'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
367,先来后到，爱情总是不公平。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
368,"f-a-m-i-l-y,Invite Your Freinds with This Link… See More",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
369,Replying to #usmcfs26163,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
370,"Are you so busy making R ** that's it until you let your child roam without wearing shoes like no one is taking care of. Playing with rain until aunt cleaner also told me. As parents, do you want to see your child crying? Please take good care of the child. This is playing on the stairs rolling if you fall? Who to blame?,· See original  · Rate this translation",Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.08, 'Sad': 0.33, 'Fear': 0.5}"
371,xerkblxerkblxerkbl,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
372,How to be a programmer if i cant code,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
373,"Tip to juniors, always choose the course most appropriate to you.",Neutral,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.0}"
374,Marketing stonks… See More,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
375,im gonna graduated from homeversity.. no uni expericence yet,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
376,P->R,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
377,the white flag only helps in short period … See More,Negative,"{'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33}"
378,"Hi, just wanna ask is there any way currently to check for any saman that we have owned so that we could pay the saman?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
379,Thanks for adding more assignment deadline in exam weeks!,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
380,"Reply #usmcfs26157,",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
381,idk who to blame for our current situation haihh,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
382,至CS final year 的朋友 先不管人家的3个fyp awards是不是outsource回来的,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
383,"Not want to sindir any confession here, but just a friendly advise, if you have problem with someone or something directly deal with rather than put in confession because you are the one who going to solve it not others going to solve it for you. We all adult laa, APEX students somemore, lol. We should face reality. Be a wiser person and don't be coward because no one can harm you and you no need to afraid"" berani kerana betul, takut kerana salah"". Cheers",Negative,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.11, 'Fear': 0.67}"
384,"Due on 25th July???.What the hell.Which one students gonna focuse, on this useless assignment or the final exam.Haihhh.I am cursing the lecturer for giving this",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
385,"I saw a post that usm coop mart will sell wet and dry groceries soon. But when I think back, who will be the target buyer there?",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
387,Urgent Urgent. Nearly deadline already.....,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
388,理大慈青 USM Tzu-Chi Collegiate Youth Malaysia:,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
389,人的一生中会遇到不顺心的事，会碰到让你不顺眼的人，如果你不学会原谅，就会活得很痛苦，活得很累。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
390,啊啊啊啊啊啊啊啊啊啊… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
391,回复 #usmcfs26194,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
393,"最近一直看到marketing 好过programming, 是因为CS fyp 的不公平制度吗",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
394,moooooo.,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
395,"Since parent can't come pick it up, so anyone knows how to post a motorcycle from Perak to Penang? Thank you so much.,· See original  · Rate this translation",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
396,"To all Malay brothers and sisters, I have only one question, this post does not want to insult anyone but for us to understand your culture and religion better. So, I only have one question,,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.75}"
397,"It's just the first year, people like this, when they rise to be a senior, they will be the one leading to receive the certificate of stepping on the palak....,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.33}"
398,请问for computer science IT领域，政府大学和私人大学哪一个比较好？（不算学费的话）我的成绩不错，可以拿到一些全免/半全免奖学金，家境不是那么富裕，也拿到了matriks。请问matriks的computer science会是什么course?,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
400,"As seen by the flow of time, i have seen how being different in religion can cause havoc and chaos as how it can united humanity.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
401,"We should find an uninhabited island, those who don't scared of Covid should go there, do whatever you want, nobody cares. Those who scared of Covid, remain here and protect yourself.",Negative,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.0}"
402,最近有打空针疑云，而且主要还针对hr 和年长者。不管这消息是真是假，去打针的大家和大家的家人们千万要小心。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
403,Any Master of Arts (Communication) degree students here? Do you know a girl student from Thailand? She is smart and pretty… name is BXX ……… See More,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
404,各位大大， 请问没拿到JPA 的原因是什么？ Rayuan 要怎么写才会提高几率拿到？第二年再申请可以吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
405,"I really hate group assignments. I can't believe I actually got free riders in my group because I only heard about that before this and now it really happens to me. When I ask to discuss about the assignment and divide the work, the all ignored me and just seen my message. I know the assignment is difficult and they don't really understand it, but at least please just respond. I cried so hard because of this. Then I end up doing the assignment alone because the … See More",Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.46, 'Sad': 0.23, 'Fear': 0.15}"
406,"Hello, may i ask alumni from Bachelor of Economics, is it easy for you guys to find jobs? Is your job now related to your degree? Do share your job hunting experience",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.0, 'Fear': 0.83}"
407,right?,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
408,我认识你,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
409,HelloI am currently conducting my final year research on parenting styles. This survey will take approximately 20 minutes to complete.,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
410,Sabah students have to get swab test 5 days before returning home and Sarawak students have to get swab test 3 days before returning home BUT how??? We cannot go out. Does Pusat Sejahtera provide swab test? Help...,Positive,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.0}"
411,"I see other state's associations have their own group for students who want to go back but for Sarawak ones there is no one. Why??,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5}"
412,So my 1st year of degree ends like.... this? Oh wow and next thing I know becoming a senior oredy.... and then final year then graduate. This is not how I expect my and undergraduate studies to be but oh well who to blame?,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.25}"
413,"Next year is my final year but, now i regret study this course, my interest in this subject really drop until now left nothing. Every subject next year is practical and thesis or fyp. When I thinj that i have to study for one more year i really hate myself and want to die.,LineHaya… See More",Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.17, 'Fear': 0.17}"
414,多一个敌人，多一份危险，总有一天会再见面。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
415,我很害怕....,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
416,"Boleh2 kafe **9 tak buka tengah hari, now I have to plan other under hot sun for my lunch....today is not lucky day....",Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.0}"
417,生日快乐 我对自己说,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
418,5v1,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
419,"那些只想 pass 不想 A 的人， please, 不要害别人，别来usm, 求求你。",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
420,"Finally meet the end,",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
425,很奇怪为什么到现在USM都还没有公布final考试成绩的公布日期 最后一年了很需要那个letter of completion赶快找工作啊啊啊啊啊,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
426,有些人觉得念大学就是念大学，不需要社交，但是我觉得社交也很重要，在社交圈里选择适合自己的朋友，从彼此身上学习或了解不一样的东西,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
428,Is there any ways that usm can provide students vaccine before students go back to hometown?,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
430,被困在campus 的第n天...,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
431,This is wat u call a quality song https://youtu.be/TQg47fXwj_Q… See More,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
432,"Humans don't have customs, rude, USM quickly operates again, send people like this back quickly, trouble people only.... better for them.....,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.5, 'Fear': 0.33}"
433,Kirakira pikapika mofumofu nadenade guruguru gorogoro wakuwaku uzuuzu noronoro urouro tekuteku kosokoso sunsun peropero niconico batabata… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
434,Iq without eq makes you an irritable nerd,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
435,"Hello to everyone, I am veli  doubtful  come to accepting  JPA offer. Please help me answer a few questions of mine. Arigato in advanced",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.6}"
436,"Just know the original song name is akari ga yatte kita zo by Gyari ft. Kizuna Akari… See More,Why no elite version",Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
437,我想说随便乱做东西的队友，你有想过你认真做东西的队友的感受吗？要pass而已的话，你一早可以先讲的，至少不会害到你队友，可以去找跟你有同样理想的人。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
438,有伤心到。。当我身边的人拿的grade都比我高，那种不平衡心理一下子就出来了。。极力在说服自己还有机会超越他们，可是说服不了啊,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
439,you smile and joke around in front of your family,Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.0}"
440,"Hi 学长学姐好，想借用这个平台请教USM 的科系。本人是STPM生，目标是就读音乐系, 于是正在找国立大学有offer 音乐系的。 我本身是没有学过西乐，也没有任何音乐文凭，只是有学过华乐笛子。想问问USM 的音乐系是不是 有提供music foundation 给没有乐理知识但又想就读音乐系的学生呢？",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
441,下个sem就year 2了 还没去过usm,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
442,什么？原来这是meeting啊？ 我以为这是直播间，我们进去是看TA们聊天的。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
443,Where can I file a complain against a lecturer if he/she gives coursework grades without even looking at my submitted work?,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.67}"
444,"Those students, particularly those that are of male gender have to know the boundary. There are many cases they've been harassing other female students, bombarding them with messages once they get hold of their numbers, trying to get a girl friend even a lot of them are married. This is an inappropriate thing to do. You come here to study, not creating this kind of nonsense.",Negative,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.17}"
445,Any youtuber/YouTube content creators among usm students?please recommend,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
446,100% brain,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
447,MANA ORANG PERAKKK?? … See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
448,多数政府大学的同学都是来自form 6吧,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
449,"I see a lot of discrimination towards diploma students. I am a former diploma student, currently a degree student in USM. I believe there are no differences in our knowledge. In fact, we as diploma students might possess knowledge that you do not know. You might know something we do not know. University is a place for exchange of information, knowledge in specific, or else why did you attend university in the first place? Let's drop our background, whether you a… See More",Positive,"{'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.12, 'Sad': 0.25, 'Fear': 0.38}"
450,Politic now be like...,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
451,"To be clerify, i am not siding any politician, including Dato Seri Najib.",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
